"huc8","combined"
"02070003","c(""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"")"
"02080103","c(""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Early Mesozoic basin aquifers"", ""Valley and Ridge aquifers"")"
"02080105","c(""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02080110","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", 
""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02080111","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02080104","c(""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02080106","c(""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Early Mesozoic basin aquifers"")"
"02080107","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02080204","c(""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Early Mesozoic basin aquifers"", ""Valley and Ridge aquifers"")"
"02080205","c(""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Early Mesozoic basin aquifers"", ""Early Mesozoic basin aquifers"", ""Early Mesozoic basin aquifers"")"
"02080109","Northern Atlantic Coastal Plain aquifer system"
"02080102","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
"02080201","c(""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Other rocks"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", 
""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"")"
"02080202","c(""Valley and Ridge aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge carbonate-rock aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"", ""Valley and Ridge aquifers"")"
"02080203","c(""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Early Mesozoic basin aquifers"", ""Valley and Ridge aquifers"")"
"02080207","c(""Piedmont and Blue Ridge crystalline-rock aquifers"", ""Northern Atlantic Coastal Plain aquifer system"", ""Early Mesozoic basin aquifers"", ""Early Mesozoic basin aquifers"", ""Early Mesozoic basin aquifers"", ""Early Mesozoic basin aquifers"")"
"02080208","Northern Atlantic Coastal Plain aquifer system"
"02080101","c(""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"", ""Northern Atlantic Coastal Plain aquifer system"")"
